Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6236233182680544 (0.24214207654047953),0.7722018133090051 (0.1696053445382824),0.5203745409651378 (0.23956509380121532)
Spectralis,0.6903041692007156 (0.16334235404452355),0.829272926376577 (0.12423696541769251),0.6973286579363048 (0.26783878872773453)
Topcon,0.5994806404398606 (0.24209635690489856),0.6407859521668132 (0.25142673259945736),0.5679254262414697 (0.21808917312120774)
