Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.7189145276529921 (0.1979042519888804),0.6657704604523522 (0.19304571229203127),nan (nan)
TRAIN017,0.31366621670515643 (0.284754535810799),nan (nan),0.5504975078893559 (0.25049949232493013)
TRAIN019,0.6947444602847099 (0.19411375954566695),nan (nan),nan (nan)
TRAIN021,0.23066740442553293 (0.18188622855747702),0.16781970528536477 (0.11210035606130936),nan (nan)
TRAIN023,nan (nan),nan (nan),0.71599185669964 (0.20307348040687742)
TRAIN025,0.6417559395233791 (0.22699049818889094),nan (nan),0.7050501735045992 (0.13467530478563267)
TRAIN031,nan (nan),nan (nan),0.5488056782633066 (0.18309341693450068)
TRAIN035,nan (nan),0.9073596811571787 (0.1305312317546496),0.5669744942570105 (0.17053510714194395)
TRAIN037,0.5850779386807461 (0.17245715855678226),0.8227806869480345 (0.15088954816391525),nan (nan)
TRAIN053,0.24629028564061414 (0.2503742649672733),0.646346658661768 (0.24581302567507438),0.7060672965772609 (0.1371945011649782)
TRAIN057,nan (nan),0.6981630937396726 (0.20284948686329313),0.6820399345869713 (0.1297326165953711)
TRAIN060,0.25957082515876545 (0.20492938827586285),nan (nan),nan (nan)
TRAIN065,0.26684783707605675 (0.2462142668876369),nan (nan),nan (nan)
TRAIN070,0.3105120910010461 (0.23726606444400392),nan (nan),nan (nan)
