Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.56893931970626 (0.43807454081607883),0.7995790782617405 (0.3314828290521829),0.6736313784917002 (0.4160141027855489)
Spectralis,0.8022650841547518 (0.2788249835714932),0.8619588484569471 (0.3012968985679069),0.8098987602153603 (0.35291694368638615)
Topcon,0.849917342761598 (0.28928188723927006),0.921422654280572 (0.24478407183397488),0.8555912479558694 (0.3003243213107604)
