Volume,dice_IRF,dice_SRF,dice_PED
D2S1,0.3684210526315789 (0.49559462778335206),0.6552953516182146 (0.4331324672371546),0.7368421052631579 (0.45241392835886407)
D3S1,0.6842105263157895 (0.47756693294091923),0.664605797905671 (0.4067523999392234),0.26749404642338814 (0.4500428023748316)
D4S1,0.7230526444159056 (0.413761525228643),0.631578947368421 (0.4955946277833521),0.3684210526315789 (0.4955946277833521)
D4S2,0.7752362160306228 (0.38055446980261476),0.4361221162896407 (0.43916068947302545),0.2631578947368421 (0.45241392835886407)
D5S2,0.15789473684210525 (0.3746343246326776),0.4783093992032503 (0.324570984500541),0.0 (0.0)
D5S3,0.21052631578947367 (0.4188539082916955),0.6918884594189493 (0.20812286358272078),0.0 (0.0)
