Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.6281106825703862 (0.19570762764897648),0.6231870353221893 (0.20204237495615013),nan (nan)
TRAIN010,0.8305237218189765 (0.1612385465476857),nan (nan),nan (nan)
TRAIN011,0.6571465901592198 (0.2046457560289388),0.7661301261041222 (0.12981732195765924),0.2258351438424804 (0.20367114031726774)
TRAIN013,0.44380774659415084 (0.24540929774547102),0.7220217700187976 (0.1495136913230686),0.42443443247766205 (0.18595305239785023)
TRAIN015,nan (nan),0.8519006428122521 (0.1197261241715818),0.7669659441425687 (0.10061953900749762)
TRAIN028,nan (nan),0.8000267382178988 (0.10867373024206486),0.707629385319623 (0.16688401333712885)
TRAIN029,0.7191612229627722 (0.122673036341672),0.8741879761219025 (0.0757825185119317),nan (nan)
TRAIN032,0.6984302243407892 (0.1159769264608279),0.8402320935445673 (0.14389884211631113),nan (nan)
TRAIN041,0.43093498796224594 (0.31535603105156734),nan (nan),nan (nan)
TRAIN046,0.6988971502416663 (0.18056517759566795),0.6422243714332581 (0.10058265881386433),0.778419200111838 (0.17719504797149246)
TRAIN049,nan (nan),0.49742006628136887 (0.32371201459951104),0.53611851817575 (0.20324962979987823)
TRAIN050,0.3887412160181919 (0.2860185398574093),nan (nan),0.4936223632910035 (0.2654011621919039)
TRAIN051,0.6138644777998632 (0.1820725167556257),0.8356908207589929 (0.09557987047845398),nan (nan)
TRAIN056,0.6727052066061232 (0.3237745524099637),nan (nan),nan (nan)
