Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5346412364847022 (0.21076973938867344),0.6748889814299798 (0.14656892114453196),0.5838759270711587 (0.25359765631349673)
Spectralis,0.5192330148290185 (0.239469592456664),0.8373802809044719 (0.1758205635309438),0.5923764846550349 (0.26194822477329155)
Topcon,0.645869000216848 (0.18873776019367755),0.7347400355828951 (0.09708075536120085),0.6045520567605572 (0.20296499375530233)
