Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.606101335841231 (0.3873810635992971),0.5760936337755993 (0.47572980300521833),0.421875 (0.49579928311148075)
TRAIN017,0.19445799227105454 (0.3061634357133228),0.125 (0.3320184038158743),0.39682960929349065 (0.3340802486238473)
TRAIN019,0.43582347338087857 (0.4460616294428705),0.8125 (0.39184602471712554),0.6484375 (0.4793342454880912)
TRAIN021,0.3884179650340229 (0.4009483694058523),0.2566680762101896 (0.4037645034813106),0.203125 (0.4039056372217743)
TRAIN023,0.2578125 (0.43914902946350715),0.1640625 (0.3717874202104902),0.3177033644169569 (0.4252518292520421)
TRAIN025,0.4690146707758612 (0.37623350920197746),0.5510204081632653 (0.5025445456953674),0.5244145429864222 (0.3612599707790337)
TRAIN031,0.46938775510204084 (0.5042337758225566),0.6938775510204082 (0.465657314657332),0.4966954625382715 (0.43700331637747974)
TRAIN035,0.3469387755102041 (0.4809288065886703),0.8841727728746376 (0.1434259576601216),0.40571093376801937 (0.296880954710294)
TRAIN037,0.6260581278071111 (0.15646661781120774),0.3651225907461984 (0.4321549737004328),0.16326530612244897 (0.3734377890799554)
TRAIN053,0.42796540015842766 (0.2901400001150575),0.46831889110035263 (0.3683166364295642),0.49683105052099563 (0.2907836866901843)
TRAIN057,0.265625 (0.4434008690887528),0.6238089270191267 (0.3537545181920839),0.46310680476017296 (0.27785080278701146)
TRAIN060,0.32572738353701425 (0.4167865189143511),0.6328125 (0.4839322811674226),0.171875 (0.37875417411488527)
TRAIN065,0.7758689047404914 (0.3538699535681178),0.9921875 (0.08838834764831843),0.8359375 (0.3717874202104902)
TRAIN070,0.6183668880257756 (0.44764413700308875),0.9296875 (0.25667755285909255),0.2734375 (0.44747487062685387)
