Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6155046951584517 (0.1875530745194573),0.20255615299238877 (0.23652557306014033),0.3678780213383067 (0.18644109229220557)
Spectralis,0.5592197752734528 (0.20895171246973493),0.8278246179955905 (0.11453538260484115),0.47141071046806043 (0.18691678244910728)
Topcon,0.33244802669375906 (0.23150597227838052),0.6370569789268745 (0.2085395822002409),0.5603951807629238 (0.1245938413773423)
