Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.8487837401917204 (0.27609372325609693),0.8671875 (0.34070546889569153),0.9765625 (0.1518828677363284)
TRAIN005,0.9453125 (0.22826265262341355),0.6428862451575696 (0.3864608989122743),0.559582773479633 (0.4335803046638111)
TRAIN006,0.7448261266399641 (0.36053625122725996),0.890625 (0.31333549728408966),0.9296875 (0.25667755285909255)
TRAIN009,0.8082692574243993 (0.32194008022008713),0.984375 (0.12450690143095285),0.8297685757279396 (0.3478852786900156)
TRAIN020,0.4367112148902379 (0.42182439130419963),0.6875876989215612 (0.2591911562504342),0.21039026750077028 (0.29981395685090345)
TRAIN030,0.6353291203552971 (0.417608699796477),0.8220216911666247 (0.3437411661476024),0.7811559678948655 (0.30461317859243686)
TRAIN036,0.7698508358123352 (0.30796982136464135),1.0 (0.0),0.9795918367346939 (0.14285714285714285)
TRAIN038,0.42857142857142855 (0.5),0.8705928241643979 (0.16533379018688993),0.7099052177247952 (0.3194525600997556)
TRAIN045,0.7417600410325187 (0.35725824148634344),0.8367346938775511 (0.37343778907995523),0.575864019385558 (0.46127464342439706)
TRAIN047,0.6567520532681017 (0.36288780093839645),0.9387755102040817 (0.24222607082590247),0.8163265306122449 (0.3912303982179758)
TRAIN055,0.8557632843148895 (0.34720551243670467),0.7578125 (0.43009051876402565),0.7601915020495653 (0.32269626794793554)
TRAIN058,0.921875 (0.26942268404342895),0.84375 (0.3645188825671882),0.8199212286272086 (0.3142378648354444)
TRAIN061,0.839148440034478 (0.24007848332878665),0.7891366970725358 (0.24203216430477),0.7722205775789917 (0.28177899728428235)
TRAIN066,0.9083683623466641 (0.2040199578928227),1.0 (0.0),0.9921875 (0.08838834764831843)
