Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.420606071036309 (0.41380832872012124),0.44773060267325493 (0.4658834673524896),0.36220293514197693 (0.43999145311953436)
Spectralis,0.6222178684205425 (0.38116714555646336),0.6442564668704053 (0.43127681616432856),0.5144747746234037 (0.45548831214548857)
Topcon,0.34654237706854474 (0.40936797236766215),0.7644889626535587 (0.4069419683813864),0.5296161160367774 (0.4726589570498419)
