Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.13967422875354935 (0.14244140783889866),0.10201945714652538 (0.09854631777023921),nan (nan)
TRAIN010,0.08579961811226573 (0.10892144415857946),nan (nan),nan (nan)
TRAIN011,0.2520004912991734 (0.20081424777284296),0.2162597689823043 (0.18531927819551064),0.018995327028361233 (0.04743575411858326)
TRAIN013,0.03525166186348846 (0.10635642051094546),0.07575513006259615 (0.12996129449080815),0.054627169432492476 (0.07769792316202578)
TRAIN015,nan (nan),0.16787527032807703 (0.11333188792718543),0.2680458170140073 (0.0748606853843104)
TRAIN028,nan (nan),0.7578065523079464 (0.08684938857541014),0.15162119980562816 (0.2016035980103308)
TRAIN029,0.7255033219561857 (0.10768076824879572),0.8782479763031006 (0.06913297975843376),nan (nan)
TRAIN032,0.6845984635304432 (0.11764474336093339),0.8336772099137306 (0.14512681256115614),nan (nan)
TRAIN041,0.5395507514476776 (0.16403018231604555),nan (nan),nan (nan)
TRAIN046,0.44013570352560943 (0.24148671512261335),0.19250404089689255 (0.27293192945364253),0.3850613584121068 (0.2566098194653059)
TRAIN049,nan (nan),0.16715373395402966 (0.18403098586939098),0.4401982172295965 (0.20196192896916831)
TRAIN050,0.08215886342490243 (0.13682839872862632),nan (nan),0.24833941482938826 (0.20108305210185579)
TRAIN051,0.11153368534976427 (0.11000599078057224),0.2764319029044021 (0.10525865535643307),nan (nan)
TRAIN056,0.11000703042373061 (0.1681651125004201),nan (nan),nan (nan)
