Volume,dice_SRF
TRAIN003,0.9375 (0.24301258837812548)
TRAIN005,0.5342465753424658 (0.5022779161209768)
TRAIN006,0.671875 (0.4713755210973134)
TRAIN009,0.8203125 (0.3854355088676483)
TRAIN020,0.0 (0.0)
TRAIN030,0.896551724137931 (0.30993404669460345)
TRAIN036,0.6326530612244898 (0.4870779177494949)
TRAIN038,1.0 (0.0)
TRAIN045,0.5918367346938775 (0.49658699082414787)
TRAIN047,0.8571428571428571 (0.3535533905932737)
TRAIN055,0.8671875 (0.3407054688956916)
TRAIN058,0.96875 (0.1746763035549529)
TRAIN061,0.7272727272727273 (0.44946657497549464)
TRAIN066,1.0 (0.0)
