Volume,dice_PED
TRAIN004,0.5769296432845294 (0.3585643995569296)
TRAIN007,0.5546875 (0.49895313635998373)
TRAIN018,0.859375 (0.3490002594588753)
TRAIN022,0.3125 (0.4653336792785002)
TRAIN024,0.11629611514217686 (0.2372921794712796)
TRAIN026,0.2857142857142857 (0.45643546458763845)
TRAIN034,0.20408163265306123 (0.4072055089639779)
TRAIN040,0.3469387755102041 (0.4809288065886704)
TRAIN043,0.44572366652440054 (0.3881148987680145)
TRAIN044,0.34766170200036495 (0.3256211083729404)
TRAIN052,0.8203125 (0.38543550886764827)
TRAIN054,0.8671875 (0.3407054688956917)
TRAIN059,0.765625 (0.42527202966171956)
TRAIN069,0.336530675238464 (0.345342733232428)
