Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.5829449816681873 (0.1775746234619874),0.3760944038629532 (0.21573597113005466),nan (nan)
TRAIN010,0.680964323472889 (0.23300905254146181),nan (nan),nan (nan)
TRAIN011,0.6482213520828415 (0.14069313154261442),0.681403232783806 (0.16910930456110568),0.10069359508766369 (0.1318640382607842)
TRAIN013,0.23265853507069145 (0.12002287177288605),0.36394536237304026 (0.19215327463258147),0.4149252977645533 (0.15621430389568522)
TRAIN015,nan (nan),0.5973327189683915 (0.10046076408115925),0.2790817788669041 (0.10570568591490044)
TRAIN028,nan (nan),0.7624626415116447 (0.08355827837468417),0.5491072129119526 (0.1663265033385927)
TRAIN029,0.6705710712601157 (0.13820656987329305),0.8401473065217336 (0.05197990346647784),nan (nan)
TRAIN032,0.6076764064479847 (0.13347969620605796),0.7435435571653002 (0.1862716943771529),nan (nan)
TRAIN041,0.6270389060179392 (0.24873159166319067),nan (nan),nan (nan)
TRAIN046,0.43137363799744183 (0.197886431202362),0.44744005302588147 (0.2119994141145984),0.5408676538397285 (0.15476085858327793)
TRAIN049,nan (nan),0.4706406989379933 (0.33690869284647734),0.4619605402494299 (0.17377626699158608)
TRAIN050,0.44420539768966466 (0.19393581609432495),nan (nan),0.4641438854688948 (0.1502314642712667)
TRAIN051,0.5743567425833673 (0.18090181269401523),0.5813370807604357 (0.13783225079179928),nan (nan)
TRAIN056,0.7621614083095833 (0.18380183542660933),nan (nan),nan (nan)
