Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.18478260869565216 (0.390247817181721),0.3046875 (0.46208350048159375),0.359375 (0.4817026069836068)
TRAIN005,0.0234375 (0.1518828677363284),0.1232876712328767 (0.3310423554409472),0.13043478260869565 (0.33924845477392546)
TRAIN006,0.025974025974025976 (0.16010078848765155),0.265625 (0.4434008690887529),0.2734375 (0.44747487062685404)
TRAIN009,0.0 (0.0),0.0 (0.0),0.0 (0.0)
TRAIN020,0.012658227848101266 (0.1125087900926024),0.0 (0.0),0.0 (0.0)
TRAIN030,0.16666666666666666 (0.3790490217894517),0.6896551724137931 (0.47082361543075835),0.7058823529411765 (0.46966821831386213)
TRAIN036,0.0 (0.0),0.7551020408163265 (0.4344830378784443),0.8163265306122449 (0.39123039821797584)
TRAIN038,0.08163265306122448 (0.27664166758624403),0.7777777777777778 (0.44095855184409843),0.5625 (0.5123475382979799)
TRAIN045,0.13333333333333333 (0.3457459036417604),0.40816326530612246 (0.49658699082414787),0.4722222222222222 (0.506309397848002)
TRAIN047,0.28 (0.458257569495584),0.5918367346938775 (0.496586990824148),0.673469387755102 (0.47380354147934284)
TRAIN055,0.25 (0.4347693529262412),0.4609375 (0.5004304249705651),0.045454545454545456 (0.20989507868443236)
TRAIN058,0.2421875 (0.43009051876402565),0.46875 (0.500983285118879),0.3404255319148936 (0.476393067340331)
TRAIN061,0.5333333333333333 (0.5022472023339227),0.2909090909090909 (0.4583677673015524),0.028985507246376812 (0.16899482177531736)
TRAIN066,0.5222222222222223 (0.502304303170668),0.8125 (0.3918460247171256),0.2109375 (0.4095771537596912)
