Volume,dice_IRF,dice_SRF,dice_PED
TRAIN002,0.8805970149253731 (0.3267094000976502),1.0 (0.0),0.9921875 (0.08838834764831843)
TRAIN012,0.921875 (0.269422684043429),0.9090909090909091 (0.29080336345115265),0.9285714285714286 (0.2593988910521574)
TRAIN014,0.984375 (0.12450690143095285),0.96875 (0.17536809360305045),0.9875 (0.11180339887498948)
TRAIN016,0.967741935483871 (0.1796053020267749),0.96875 (0.1746763035549529),0.984375 (0.12450690143095286)
TRAIN027,0.5263157894736842 (0.512989176042577),0.6842105263157895 (0.4710691208760757),0.9387755102040817 (0.24222607082590245)
TRAIN033,0.8461538461538461 (0.36794648440311994),1.0 (0.0),0.6363636363636364 (0.4885042104591973)
TRAIN039,0.058823529411764705 (0.24253562503633297),0.9591836734693877 (0.199914947901746),0.9387755102040817 (0.24222607082590245)
TRAIN042,0.7608695652173914 (0.43126597148888435),1.0 (0.0),0.85 (0.3663475485325232)
TRAIN048,0.7368421052631579 (0.45241392835886407),0.9183673469387755 (0.2766416675862441),0.9591836734693877 (0.19991494790174602)
TRAIN062,1.0 (0.0),1.0 (0.0),1.0 (0.0)
TRAIN063,0.84375 (0.3645188825671882),0.9259259259259259 (0.2643505285727147),0.45054945054945056 (0.5003051571843431)
TRAIN064,0.7909090909090909 (0.4085205921719537),0.921875 (0.2694226840434289),0.4921875 (0.5019033653891716)
TRAIN067,0.9078947368421053 (0.2910959328215755),0.9765625 (0.1518828677363284),0.9921875 (0.08838834764831843)
TRAIN068,1.0 (0.0),0.9752066115702479 (0.15614149124834248),0.921875 (0.26942268404342895)
