Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.42093337181722745 (0.33495020018303717),0.9015392281580716 (0.2753008233933701),0.90625 (0.29262590667923194)
TRAIN010,0.653733835555613 (0.4404263098892108),0.90625 (0.29262590667923183),0.765625 (0.42527202966171945)
TRAIN011,0.29171298240544274 (0.3945076089420558),0.47888708719983697 (0.44600448315593644),0.1637353126279777 (0.348912833567606)
TRAIN013,0.31397944723721594 (0.40716072527792396),0.7181893276283517 (0.34301062924368625),0.5649929419523687 (0.3826083641203428)
TRAIN015,0.0625 (0.24301258837812545),0.8655899493023753 (0.11521493649384744),0.6007466677110642 (0.30747921295774594)
TRAIN028,0.5102040816326531 (0.5050762722761054),0.9198323317936489 (0.17032021219814966),0.8062207236581919 (0.3354705739877133)
TRAIN029,0.7895472983316499 (0.3197549099160884),0.9273556324900413 (0.24147311762084023),0.9795918367346939 (0.14285714285714285)
TRAIN032,0.6502806158090124 (0.1423157686591685),0.8133487861071315 (0.28670557042807715),0.3877551020408163 (0.4922874554317936)
TRAIN041,0.3633387678739976 (0.4718810575440617),0.9183673469387755 (0.2766416675862441),0.9183673469387755 (0.27664166758624403)
TRAIN046,0.40848686013902935 (0.2961099136722784),0.415745741554669 (0.48458175711901186),0.700669663293021 (0.3212261857181339)
TRAIN049,0.7109375 (0.45510825483839257),0.870194188086316 (0.2992917717715644),0.7352406496647745 (0.3829802490270636)
TRAIN050,0.774968056473881 (0.3390045714377126),0.9453125 (0.22826265262341355),0.8591258788947016 (0.2283572208949351)
TRAIN051,0.5003468844806775 (0.4146735085915334),0.9633068549446762 (0.08986524709293955),0.7890625 (0.4095771537596913)
TRAIN056,0.7435739521170035 (0.37160197484764773),0.703125 (0.46049274850812955),0.640625 (0.48361034754641913)
