Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.1514476614699332 (0.35888455359989996),0.19339622641509435 (0.39542749836508295),0.11752136752136752 (0.3223851314654396)
Spectralis,0.12857142857142856 (0.3359268750261744),0.34574468085106386 (0.47688043627969745),0.31840796019900497 (0.46702189749124023)
Topcon,0.5492537313432836 (0.498312461894291),0.09582309582309582 (0.2947107593591009),0.096 (0.2949848178817831)
