Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.5297766298172064 (0.34027703116369634),0.953412126749754 (0.1744893008573316),0.71875 (0.45137584946507153)
TRAIN010,0.7114197362679988 (0.41939013317217294),0.875 (0.3320184038158743),0.75 (0.43471413360133115)
TRAIN011,0.3764561874559149 (0.42857996796460535),0.46308829728513956 (0.44259083205957606),0.2531745684100315 (0.40755224620530384)
TRAIN013,0.47682271839585155 (0.4471111906195971),0.7542453114874661 (0.3204023720229318),0.5611094270570902 (0.38507819597591214)
TRAIN015,0.390625 (0.48980753089640694),0.8669526248704642 (0.10408134808872072),0.7639291940722615 (0.2821912384207309)
TRAIN028,0.7551020408163265 (0.43448303787844417),0.9339420631223795 (0.11825894107895987),0.8519592157432011 (0.2939152587241025)
TRAIN029,0.8345487482693731 (0.2685078396140452),0.9252464394180142 (0.24265127440811832),1.0 (0.0)
TRAIN032,0.6768980123558823 (0.1322640842757813),0.7853092818844075 (0.3182919210556733),0.6326530612244898 (0.4870779177494948)
TRAIN041,0.8836715367375588 (0.3070075406265361),1.0 (0.0),0.8571428571428571 (0.3535533905932738)
TRAIN046,0.6647762519364454 (0.2812552496601503),0.609276400536907 (0.4799994495116525),0.7686172626456436 (0.28495173057629947)
TRAIN049,0.96875 (0.1746763035549529),0.8763360092416406 (0.29105512653361204),0.7583357625408098 (0.37660655343297594)
TRAIN050,0.8061640932282899 (0.32220133293976827),0.921875 (0.26942268404342895),0.8045547029469162 (0.29795715135817286)
TRAIN051,0.7338694431819022 (0.34249902481110595),0.967906700912863 (0.08107991791258581),0.8984375 (0.3032590366453844)
TRAIN056,0.8063187720254064 (0.3315828452393752),0.796875 (0.40550526976788337),0.671875 (0.4732423621500228)
