Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.21885528296831977 (0.20916629835806888),0.31416949555946133 (0.23436427040737565),0.22526604490189509 (0.15976509644245843)
Spectralis,0.5605040171494087 (0.19914305931140883),0.7945447929464934 (0.16379117843991944),0.2947226981314915 (0.21565928926950592)
Topcon,0.12786720323724574 (0.1628926904975179),0.2890174725865264 (0.2839960444739078),0.2892888018427646 (0.17968829576126125)
