Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.5762644218048081 (0.3917134591657683),0.393131144111976 (0.46876704040281836),0.5625 (0.49802760572381133)
TRAIN017,0.6127237966284156 (0.4357951608846269),0.359375 (0.4817026069836068),0.6369908246269915 (0.3616033778990559)
TRAIN019,0.5235218794550747 (0.4490874403459593),0.015625 (0.12450690143095285),0.859375 (0.3490002594588752)
TRAIN021,0.3172710984654259 (0.4071376770336488),0.026221828950838244 (0.07498144569768814),0.4765625 (0.5014128660143499)
TRAIN023,0.921875 (0.269422684043429),0.53125 (0.5009832851188789),0.7949361003702506 (0.3686322388209222)
TRAIN025,0.39291179970819123 (0.3618566717878052),0.16326530612244897 (0.3734377890799553),0.621356225135375 (0.35371629864590176)
TRAIN031,0.08163265306122448 (0.27664166758624403),0.061224489795918366 (0.24222607082590245),0.44450797657577357 (0.42426581263600477)
TRAIN035,0.12244897959183673 (0.331200660553418),0.83707074060732 (0.28076894050661655),0.43696085292351794 (0.2970211837089647)
TRAIN037,0.5850779386807461 (0.17245715855678226),0.4246949462258086 (0.45033670588871916),0.4897959183673469 (0.5050762722761055)
TRAIN053,0.383994428517326 (0.3832931598806299),0.5060054118512198 (0.38665480874766456),0.5653931709239259 (0.32837832672362144)
TRAIN057,0.828125 (0.37875417411488527),0.6105850344174542 (0.3658281432906496),0.5321230769623071 (0.3205332869877693)
TRAIN060,0.6629975887190085 (0.4241690140982767),0.4609375 (0.5004304249705652),0.203125 (0.4039056372217743)
TRAIN065,0.8167119592690142 (0.3411370020326636),0.9765625 (0.1518828677363284),0.953125 (0.21220162006698995)
TRAIN070,0.7422253956174245 (0.3954203120031977),0.859375 (0.34900025945887514),0.5234375 (0.5014128660143498)
