Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6956521739130435 (0.4626519455729922),0.9921875 (0.08838834764831843),0.96875 (0.1746763035549529)
TRAIN005,0.9765625 (0.1518828677363284),0.6986301369863014 (0.46202848357509646),0.7536231884057971 (0.43405736614121565)
TRAIN006,0.6753246753246753 (0.47132395947782424),0.9453125 (0.22826265262341355),0.9609375 (0.19450497433065844)
TRAIN009,0.9010989010989011 (0.30018309431060597),0.984375 (0.12450690143095285),0.9824561403508771 (0.1318658570441865)
TRAIN020,0.6708860759493671 (0.4728939542678912),0.08333333333333333 (0.2886751345948129),0.14084507042253522 (0.35033757793172343)
TRAIN030,0.9 (0.30512857662936466),0.9310344827586207 (0.25788071477756375),0.8235294117647058 (0.3929526239966879)
TRAIN036,0.8461538461538461 (0.3679464844031199),1.0 (0.0),0.9591836734693877 (0.19991494790174602)
TRAIN038,0.8163265306122449 (0.39123039821797584),1.0 (0.0),0.8125 (0.40311288741492746)
TRAIN045,0.8666666666666667 (0.3457459036417604),0.8163265306122449 (0.39123039821797584),0.7222222222222222 (0.45425676257949793)
TRAIN047,0.96 (0.19999999999999998),0.9387755102040817 (0.24222607082590245),0.9387755102040817 (0.2422260708259025)
TRAIN055,0.8225806451612904 (0.3835729988880906),1.0 (0.0),0.9090909090909091 (0.28968272975116055)
TRAIN058,0.8515625 (0.35693012505703176),0.921875 (0.2694226840434289),0.925531914893617 (0.2639388044961831)
TRAIN061,0.8 (0.40269363312841455),0.8181818181818182 (0.3892494720807615),0.7681159420289855 (0.4251272313441583)
TRAIN066,0.7444444444444445 (0.43861659721311447),1.0 (0.0),0.984375 (0.12450690143095285)
