Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.7934782608695652 (0.40702737651969134),0.859375 (0.3490002594588752),0.984375 (0.12450690143095286)
TRAIN005,0.65625 (0.47682513013096256),0.5753424657534246 (0.4977116584702119),0.6376811594202898 (0.48419170039153686)
TRAIN006,0.5714285714285714 (0.49811675413689877),0.53125 (0.5009832851188789),0.875 (0.3320184038158743)
TRAIN009,0.9230769230769231 (0.26794565082283345),0.75 (0.43471413360133093),0.8947368421052632 (0.30824714405244397)
TRAIN020,0.16455696202531644 (0.37314944235401704),0.0 (0.0),0.0 (0.0)
TRAIN030,0.7 (0.466091599699399),0.8275862068965517 (0.38442587221924474),0.8823529411764706 (0.3321055820775357)
TRAIN036,0.23076923076923078 (0.4296689244236597),0.8163265306122449 (0.3912303982179758),0.8571428571428571 (0.35355339059327373)
TRAIN038,0.1836734693877551 (0.3912303982179758),1.0 (0.0),0.75 (0.4472135954999579)
TRAIN045,0.6333333333333333 (0.4901325178535608),0.5918367346938775 (0.49658699082414776),0.7222222222222222 (0.45425676257949793)
TRAIN047,0.76 (0.4358898943540673),0.8163265306122449 (0.3912303982179758),0.673469387755102 (0.47380354147934284)
TRAIN055,0.8548387096774194 (0.3536924479794149),0.8828125 (0.3229074060986924),0.9393939393939394 (0.24043472671155017)
TRAIN058,0.8203125 (0.38543550886764827),0.6640625 (0.47417302649467324),0.7978723404255319 (0.40374023465117265)
TRAIN061,0.64 (0.4832323597540975),0.7636363636363637 (0.42876378559573314),0.7246376811594203 (0.44996921368592774)
TRAIN066,0.7333333333333333 (0.44469406223690916),0.9453125 (0.22826265262341355),0.96875 (0.1746763035549529)
