Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.21574181021454486 (0.20023126850443482),0.05881509843015077 (0.08357975933365136),0.1563706716631206 (0.1422636846398654)
Spectralis,0.5320867864947234 (0.20526650429430235),0.7750187805085852 (0.16313456824075673),0.29178303030891006 (0.23692343207819358)
Topcon,0.19503395933765028 (0.20215633409010403),0.3424141542736168 (0.2707452922538092),0.27614414179059743 (0.20600502294538145)
