Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5647756488797313 (0.4442128759632293),0.7880906436126679 (0.3393420799694663),0.6708688867285673 (0.4351147913382257)
Spectralis,0.5501767900905439 (0.43207858032766666),0.8676940900938851 (0.29123719350293786),0.7546765467855243 (0.36617462320510846)
Topcon,0.7843935044966202 (0.3698699088763398),0.8308435651415493 (0.33666190630710013),0.7728527202561963 (0.33859117953335344)
