Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.7629195945688508 (0.3502498382941793),0.8986095807382039 (0.20771350413283443),0.9281582855693404 (0.1891153784812703)
Spectralis,0.3626586904670013 (0.3668260755637351),0.7503847554643104 (0.3815471521574925),0.8455075142389916 (0.30980207050459324)
Topcon,0.7517083902372699 (0.37620653663618586),0.9084099020953734 (0.2533743874273988),0.7318433858914952 (0.43026569944025644)
