Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.3497420854843222 (0.27088506157869974),0.14305366632555994 (0.15266142769933752),0.16790804250669442 (0.148339902921099)
Spectralis,0.5936707248793373 (0.18549006904377002),0.859790524498361 (0.1358676531758486),0.5784021942519847 (0.19047829638267935)
Topcon,0.07238399025705436 (0.15456209797409776),0.34486660682178366 (0.259362686777277),0.3647115079963461 (0.15185469299100632)
